Position,Evaluation
5b1r/R5pp/2p5/3pP2k/4b1QN/4P1P1/1P2BP1P/5RK1 b - - 0 27,Mate in <bound method Mate.mate of Mate(-1)>
5b1r/R5pp/2p4k/3pP3/4b1QN/4P1P1/1P2BP1P/5RK1 w - - 1 28,Mate in <bound method Mate.mate of Mate(+1)>
5b1r/R5pp/2p4k/3pP3/4bQ1N/4P1P1/1P2BP1P/5RK1 b - - 2 28,Mate in <bound method Mate.mate of Mate(-2)>
5b1r/R6p/2p4k/3pP1p1/4bQ1N/4P1P1/1P2BP1P/5RK1 w - - 0 29,Mate in <bound method Mate.mate of Mate(+2)>
5b1r/R6p/2p2Q1k/3pP1p1/4b2N/4P1P1/1P2BP1P/5RK1 b - - 1 29,Mate in <bound method Mate.mate of Mate(-1)>
5b1r/R6p/2p2Qbk/3pP1p1/7N/4P1P1/1P2BP1P/5RK1 w - - 2 30,Mate in <bound method Mate.mate of Mate(+1)>
5b1r/R6p/2p2QNk/3pP1p1/8/4P1P1/1P2BP1P/5RK1 b - - 0 30,Mate in <bound method Mate.mate of Mate(-2)>
7r/R5bp/2p2QNk/3pP1p1/8/4P1P1/1P2BP1P/5RK1 w - - 1 31,Mate in <bound method Mate.mate of Mate(+1)>
7r/R5Qp/2p3Nk/3pP1p1/8/4P1P1/1P2BP1P/5RK1 b - - 0 31,Mate in <bound method Mate.mate of Mate(-0)>
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,24
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,44
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,43
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,59
rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,57
r1bqkbnr/ppp2ppp/2np4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,67
r1bqkbnr/ppp2ppp/2np4/3Pp3/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,73
r1bqkbnr/ppp2ppp/3p4/3Pp3/1n2P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5,106
r1bqkbnr/ppp2ppp/3p4/3Pp3/1n2P3/P4N2/1PP2PPP/RNBQKB1R b KQkq - 0 5,102
r1bqkbnr/ppp2ppp/n2p4/3Pp3/4P3/P4N2/1PP2PPP/RNBQKB1R w KQkq - 1 6,94
r1bqkbnr/ppp2ppp/n2p4/3Pp3/4P3/P1N2N2/1PP2PPP/R1BQKB1R b KQkq - 2 6,98
r1bqk1nr/ppp1bppp/n2p4/3Pp3/4P3/P1N2N2/1PP2PPP/R1BQKB1R w KQkq - 3 7,97
r1bqk1nr/ppp1bppp/n2p4/3Pp3/1P2P3/P1N2N2/2P2PPP/R1BQKB1R b KQkq - 0 7,78
r1bqk2r/ppp1bppp/n2p1n2/3Pp3/1P2P3/P1N2N2/2P2PPP/R1BQKB1R w KQkq - 1 8,74
r1bqk2r/ppp1bppp/n2p1n2/3Pp1B1/1P2P3/P1N2N2/2P2PPP/R2QKB1R b KQkq - 2 8,41
r1bq1rk1/ppp1bppp/n2p1n2/3Pp1B1/1P2P3/P1N2N2/2P2PPP/R2QKB1R w KQ - 3 9,42
r1bq1rk1/ppp1bppp/n2p1n2/1P1Pp1B1/4P3/P1N2N2/2P2PPP/R2QKB1R b KQ - 0 9,-71
r1bq1rk1/ppp1bppp/3p1n2/1PnPp1B1/4P3/P1N2N2/2P2PPP/R2QKB1R w KQ - 1 10,-45
r1bq1rk1/ppp1bppp/3p1B2/1PnPp3/4P3/P1N2N2/2P2PPP/R2QKB1R b KQ - 0 10,-41
r1bq1rk1/ppp2ppp/3p1b2/1PnPp3/4P3/P1N2N2/2P2PPP/R2QKB1R w KQ - 0 11,-33
r1bq1rk1/ppp2ppp/3p1b2/1PnPp3/4P3/P1NB1N2/2P2PPP/R2QK2R b KQ - 1 11,-61
r1b2rk1/pppq1ppp/3p1b2/1PnPp3/4P3/P1NB1N2/2P2PPP/R2QK2R w KQ - 2 12,-24
r1b2rk1/pppq1ppp/3p1b2/1PnPp3/4P3/P1NB1N2/2P2PPP/R2Q1RK1 b - - 3 12,-42
r1b2rk1/pppq1ppp/3p1b2/1P1Pp3/4P3/P1Nn1N2/2P2PPP/R2Q1RK1 w - - 0 13,-8
r1b2rk1/pppq1ppp/3p1b2/1P1Pp3/4P3/P1NQ1N2/2P2PPP/R4RK1 b - - 0 13,-42
r1b2rk1/pp1q1ppp/2pp1b2/1P1Pp3/4P3/P1NQ1N2/2P2PPP/R4RK1 w - - 0 14,17
r1b2rk1/pp1q1ppp/2pp1b2/1P1Pp3/P3P3/2NQ1N2/2P2PPP/R4RK1 b - - 0 14,-23
r1b2rk1/pp1q1ppp/3p1b2/1P1pp3/P3P3/2NQ1N2/2P2PPP/R4RK1 w - - 0 15,80
r1b2rk1/pp1q1ppp/3p1b2/1P1Np3/P3P3/3Q1N2/2P2PPP/R4RK1 b - - 0 15,91
r1b2rk1/pp3ppp/3pqb2/1P1Np3/P3P3/3Q1N2/2P2PPP/R4RK1 w - - 1 16,240
r1b2rk1/ppN2ppp/3pqb2/1P2p3/P3P3/3Q1N2/2P2PPP/R4RK1 b - - 2 16,251
r1b2rk1/ppN2ppp/3p1b2/1P2p3/P3P1q1/3Q1N2/2P2PPP/R4RK1 w - - 3 17,495
N1b2rk1/pp3ppp/3p1b2/1P2p3/P3P1q1/3Q1N2/2P2PPP/R4RK1 b - - 0 17,518
N4rk1/pp1b1ppp/3p1b2/1P2p3/P3P1q1/3Q1N2/2P2PPP/R4RK1 w - - 1 18,581
5rk1/ppNb1ppp/3p1b2/1P2p3/P3P1q1/3Q1N2/2P2PPP/R4RK1 b - - 2 18,582
2r3k1/ppNb1ppp/3p1b2/1P2p3/P3P1q1/3Q1N2/2P2PPP/R4RK1 w - - 3 19,592
2r3k1/pp1b1ppp/3p1b2/1P1Np3/P3P1q1/3Q1N2/2P2PPP/R4RK1 b - - 4 19,573
2r3k1/pp1b1ppp/3p1bq1/1P1Np3/P3P3/3Q1N2/2P2PPP/R4RK1 w - - 5 20,570
2r3k1/pp1b1ppp/3p1Nq1/1P2p3/P3P3/3Q1N2/2P2PPP/R4RK1 b - - 0 20,565
